,time_period,roadmap_group,prediction,Horizon,Region
0,2019-05-01,A1-21.5-KAB,,1,AAP
1,2019-06-01,A1-21.5-KAB,,1,AAP
2,2019-07-01,A1-21.5-KAB,,1,AAP
3,2019-08-01,A1-21.5-KAB,,1,AAP
4,2019-09-01,A1-21.5-KAB,,1,AAP
5,2019-10-01,A1-21.5-KAB,,1,AAP
6,2019-11-01,A1-21.5-KAB,,1,AAP
7,2019-12-01,A1-21.5-KAB,,1,AAP
8,2020-01-01,A1-21.5-KAB,,1,AAP
9,2020-02-01,A1-21.5-KAB,,1,AAP
10,2020-03-01,A1-21.5-KAB,,1,AAP
11,2020-04-01,A1-21.5-KAB,,1,AAP
12,2020-05-01,A1-21.5-KAB,135.7343727466256,1,AAP
13,2020-06-01,A1-21.5-KAB,112.71416897507687,1,AAP
14,2020-07-01,A1-21.5-KAB,1085.819470577465,1,AAP
15,2020-08-01,A1-21.5-KAB,67.5317522054225,1,AAP
16,2020-09-01,A1-21.5-KAB,49.62403868379188,1,AAP
17,2020-10-01,A1-21.5-KAB,36.46904338373271,1,AAP
18,2020-11-01,A1-21.5-KAB,26.785963316179366,1,AAP
19,2020-12-01,A1-21.5-KAB,18.92696675609216,1,AAP
20,2021-01-01,A1-21.5-KAB,12.02343075098829,1,AAP
21,2021-02-01,A1-21.5-KAB,7.893542324899051,1,AAP
22,2021-03-01,A1-21.5-KAB,2.9481386875632976,1,AAP
23,2021-04-01,A1-21.5-KAB,4.396245322972051,1,AAP
24,2021-05-01,A1-21.5-KAB,1.9901512144145868,1,AAP
25,2021-06-01,A1-21.5-KAB,0.26314974841769756,1,AAP
26,2021-07-01,A1-21.5-KAB,-0.3617984288204542,1,AAP
27,2021-08-01,A1-21.5-KAB,-0.46884999443148784,1,AAP
28,2021-09-01,A1-21.5-KAB,-0.4805203785167741,1,AAP
29,2021-10-01,A1-21.5-KAB,-0.8465137419033639,1,AAP
30,2018-08-01,C Series-19.5,,1,AAP
31,2018-09-01,C Series-19.5,,1,AAP
32,2018-10-01,C Series-19.5,,1,AAP
33,2018-11-01,C Series-19.5,,1,AAP
34,2018-12-01,C Series-19.5,,1,AAP
35,2019-01-01,C Series-19.5,,1,AAP
36,2019-02-01,C Series-19.5,,1,AAP
37,2019-03-01,C Series-19.5,,1,AAP
38,2019-04-01,C Series-19.5,,1,AAP
39,2019-05-01,C Series-19.5,,1,AAP
40,2019-06-01,C Series-19.5,,1,AAP
41,2019-07-01,C Series-19.5,,1,AAP
42,2019-08-01,C Series-19.5,2066.489684538671,1,AAP
43,2019-09-01,C Series-19.5,1867.797272941502,1,AAP
44,2019-10-01,C Series-19.5,2108.6159721934196,1,AAP
45,2019-11-01,C Series-19.5,2151.6812572803397,1,AAP
46,2019-12-01,C Series-19.5,2160.3314929176627,1,AAP
47,2020-01-01,C Series-19.5,2104.034689655311,1,AAP
48,2020-02-01,C Series-19.5,2038.4096931873817,1,AAP
49,2020-03-01,C Series-19.5,1923.2127279946756,1,AAP
50,2020-04-01,C Series-19.5,1674.789440189151,1,AAP
51,2020-05-01,C Series-19.5,1024.2734000503656,1,AAP
52,2020-06-01,C Series-19.5,1064.1667790641131,1,AAP
53,2020-07-01,C Series-19.5,672.8593666220241,1,AAP
54,2020-08-01,C Series-19.5,89.5569151270623,1,AAP
55,2020-09-01,C Series-19.5,459.7576927028993,1,AAP
56,2020-10-01,C Series-19.5,-60.46473835698933,1,AAP
57,2020-11-01,C Series-19.5,608.0306490669949,1,AAP
58,2020-12-01,C Series-19.5,435.6003554922404,1,AAP
59,2021-01-01,C Series-19.5,1419.9329403525671,1,AAP
60,2021-02-01,C Series-19.5,827.8697836049288,1,AAP
61,2021-03-01,C Series-19.5,661.3738777139347,1,AAP
62,2021-04-01,C Series-19.5,546.4577031010102,1,AAP
63,2021-05-01,C Series-19.5,437.4032155749621,1,AAP
64,2021-06-01,C Series-19.5,330.1533506525941,1,AAP
65,2021-07-01,C Series-19.5,236.38384651252412,1,AAP
66,2021-08-01,C Series-19.5,146.456865130236,1,AAP
67,2021-09-01,C Series-19.5,76.70167821127423,1,AAP
68,2021-10-01,C Series-19.5,27.55915140690024,1,AAP
69,2018-03-01,C Series-21.5,,1,AAP
70,2018-04-01,C Series-21.5,,1,AAP
71,2018-05-01,C Series-21.5,,1,AAP
72,2018-06-01,C Series-21.5,,1,AAP
73,2018-07-01,C Series-21.5,,1,AAP
74,2018-08-01,C Series-21.5,,1,AAP
75,2018-09-01,C Series-21.5,,1,AAP
76,2018-10-01,C Series-21.5,,1,AAP
77,2018-11-01,C Series-21.5,,1,AAP
78,2018-12-01,C Series-21.5,,1,AAP
79,2019-01-01,C Series-21.5,,1,AAP
80,2019-02-01,C Series-21.5,,1,AAP
81,2019-03-01,C Series-21.5,395.30255003523365,1,AAP
82,2019-04-01,C Series-21.5,954.9201476345445,1,AAP
83,2019-05-01,C Series-21.5,702.9536406358517,1,AAP
84,2019-06-01,C Series-21.5,307.33207338308983,1,AAP
85,2019-07-01,C Series-21.5,768.8646049277047,1,AAP
86,2019-08-01,C Series-21.5,1479.8344049662771,1,AAP
87,2019-09-01,C Series-21.5,811.9326105467964,1,AAP
88,2019-10-01,C Series-21.5,482.37633191613395,1,AAP
89,2019-11-01,C Series-21.5,607.1125489395528,1,AAP
90,2019-12-01,C Series-21.5,519.8536956097273,1,AAP
91,2020-01-01,C Series-21.5,429.5845529115289,1,AAP
92,2020-02-01,C Series-21.5,682.3490535811355,1,AAP
93,2020-03-01,C Series-21.5,1351.376272284773,1,AAP
94,2020-04-01,C Series-21.5,769.5798262742514,1,AAP
95,2020-05-01,C Series-21.5,678.250626828469,1,AAP
96,2020-06-01,C Series-21.5,645.8837194046906,1,AAP
97,2020-07-01,C Series-21.5,632.9270640648206,1,AAP
98,2020-08-01,C Series-21.5,625.3310315984203,1,AAP
99,2020-09-01,C Series-21.5,666.3951569186805,1,AAP
100,2020-10-01,C Series-21.5,685.9629756206862,1,AAP
101,2020-11-01,C Series-21.5,672.6791354440084,1,AAP
102,2020-12-01,C Series-21.5,599.4817562909648,1,AAP
103,2021-01-01,C Series-21.5,650.4949027449484,1,AAP
104,2021-02-01,C Series-21.5,666.8236483376917,1,AAP
105,2021-03-01,C Series-21.5,674.7590790770079,1,AAP
106,2021-04-01,C Series-21.5,649.327151583691,1,AAP
107,2021-05-01,C Series-21.5,603.0861417732505,1,AAP
108,2021-06-01,C Series-21.5,566.2885083115143,1,AAP
109,2021-07-01,C Series-21.5,529.3812276900046,1,AAP
110,2021-08-01,C Series-21.5,100.63643358357334,1,AAP
111,2021-09-01,C Series-21.5,59.546747499270765,1,AAP
112,2021-10-01,C Series-21.5,94.46147651026756,1,AAP
113,2018-05-01,C Series-21.5-AMD,,1,AAP
114,2018-06-01,C Series-21.5-AMD,,1,AAP
115,2018-07-01,C Series-21.5-AMD,,1,AAP
116,2018-08-01,C Series-21.5-AMD,,1,AAP
