,time_period,roadmap_group,prediction,Horizon,Region
0,2018-11-01,A1-19.5-KAB,,1,CHINA
1,2018-12-01,A1-19.5-KAB,,1,CHINA
2,2019-01-01,A1-19.5-KAB,,1,CHINA
3,2019-02-01,A1-19.5-KAB,,1,CHINA
4,2019-03-01,A1-19.5-KAB,,1,CHINA
5,2019-04-01,A1-19.5-KAB,,1,CHINA
6,2019-05-01,A1-19.5-KAB,,1,CHINA
7,2019-06-01,A1-19.5-KAB,,1,CHINA
8,2019-07-01,A1-19.5-KAB,,1,CHINA
9,2019-08-01,A1-19.5-KAB,,1,CHINA
10,2019-09-01,A1-19.5-KAB,,1,CHINA
11,2019-10-01,A1-19.5-KAB,,1,CHINA
12,2019-11-01,A1-19.5-KAB,325.3030296739818,1,CHINA
13,2019-12-01,A1-19.5-KAB,242.94770608360855,1,CHINA
14,2020-01-01,A1-19.5-KAB,171.88010681637468,1,CHINA
15,2020-02-01,A1-19.5-KAB,139.0701466743101,1,CHINA
16,2020-03-01,A1-19.5-KAB,106.53108853284279,1,CHINA
17,2020-04-01,A1-19.5-KAB,146.1058116222267,1,CHINA
18,2020-05-01,A1-19.5-KAB,145.84144243371648,1,CHINA
19,2020-06-01,A1-19.5-KAB,161.62390990874874,1,CHINA
20,2020-07-01,A1-19.5-KAB,542.4571879777961,1,CHINA
21,2020-08-01,A1-19.5-KAB,911.366590672326,1,CHINA
22,2020-09-01,A1-19.5-KAB,207.45563069768184,1,CHINA
23,2020-10-01,A1-19.5-KAB,140.15017444527422,1,CHINA
24,2020-11-01,A1-19.5-KAB,147.85675807464798,1,CHINA
25,2020-12-01,A1-19.5-KAB,136.1542857390703,1,CHINA
26,2021-01-01,A1-19.5-KAB,132.6853858702875,1,CHINA
27,2021-02-01,A1-19.5-KAB,102.63833866283268,1,CHINA
28,2021-03-01,A1-19.5-KAB,153.28595878662395,1,CHINA
29,2021-04-01,A1-19.5-KAB,120.43812605006264,1,CHINA
30,2021-05-01,A1-19.5-KAB,202.23245274380548,1,CHINA
31,2021-06-01,A1-19.5-KAB,100.14590273773823,1,CHINA
32,2021-07-01,A1-19.5-KAB,169.46542247914164,1,CHINA
33,2021-08-01,A1-19.5-KAB,289.4412094629613,1,CHINA
34,2021-09-01,A1-19.5-KAB,143.05079599672627,1,CHINA
35,2021-10-01,A1-19.5-KAB,67.94221693386415,1,CHINA
36,2021-11-01,A1-19.5-KAB,96.67352943612319,1,CHINA
37,2018-09-01,A1-21.5-KAB,,1,CHINA
38,2018-10-01,A1-21.5-KAB,,1,CHINA
39,2018-11-01,A1-21.5-KAB,,1,CHINA
40,2018-12-01,A1-21.5-KAB,,1,CHINA
41,2019-01-01,A1-21.5-KAB,,1,CHINA
42,2019-02-01,A1-21.5-KAB,,1,CHINA
43,2019-03-01,A1-21.5-KAB,,1,CHINA
44,2019-04-01,A1-21.5-KAB,,1,CHINA
45,2019-05-01,A1-21.5-KAB,,1,CHINA
46,2019-06-01,A1-21.5-KAB,,1,CHINA
47,2019-07-01,A1-21.5-KAB,,1,CHINA
48,2019-08-01,A1-21.5-KAB,,1,CHINA
