,time_period,roadmap_group,prediction,Horizon,Region
0,2018-05-01,C Series-19.5,,1,EMEA
1,2018-06-01,C Series-19.5,,1,EMEA
2,2018-07-01,C Series-19.5,,1,EMEA
3,2018-08-01,C Series-19.5,,1,EMEA
4,2018-09-01,C Series-19.5,,1,EMEA
5,2018-10-01,C Series-19.5,,1,EMEA
6,2018-11-01,C Series-19.5,,1,EMEA
7,2018-12-01,C Series-19.5,,1,EMEA
8,2019-01-01,C Series-19.5,,1,EMEA
9,2019-02-01,C Series-19.5,,1,EMEA
10,2019-03-01,C Series-19.5,,1,EMEA
11,2019-04-01,C Series-19.5,,1,EMEA
12,2019-05-01,C Series-19.5,569.2500512933572,1,EMEA
13,2019-06-01,C Series-19.5,711.4666894416569,1,EMEA
14,2019-07-01,C Series-19.5,362.8113682903902,1,EMEA
15,2019-08-01,C Series-19.5,210.28392498218642,1,EMEA
16,2019-09-01,C Series-19.5,70.96771744711953,1,EMEA
17,2019-10-01,C Series-19.5,185.80106263083036,1,EMEA
18,2019-11-01,C Series-19.5,330.07398554735914,1,EMEA
19,2019-12-01,C Series-19.5,339.9810365460277,1,EMEA
20,2020-01-01,C Series-19.5,61.273867738790955,1,EMEA
21,2020-02-01,C Series-19.5,-49.169725504205,1,EMEA
22,2020-03-01,C Series-19.5,43.518824234428855,1,EMEA
23,2020-04-01,C Series-19.5,14.046853056545153,1,EMEA
24,2020-05-01,C Series-19.5,73.02413825724703,1,EMEA
25,2020-06-01,C Series-19.5,491.0800952145247,1,EMEA
26,2020-07-01,C Series-19.5,413.17087130908044,1,EMEA
27,2020-08-01,C Series-19.5,455.7897339327361,1,EMEA
28,2020-09-01,C Series-19.5,611.1493145611964,1,EMEA
29,2020-10-01,C Series-19.5,418.9050589640227,1,EMEA
30,2020-11-01,C Series-19.5,340.6142046680481,1,EMEA
31,2020-12-01,C Series-19.5,355.3903985260758,1,EMEA
32,2021-01-01,C Series-19.5,-55.708875812954844,1,EMEA
33,2021-02-01,C Series-19.5,-187.97244957433597,1,EMEA
34,2021-03-01,C Series-19.5,71.38491712215742,1,EMEA
35,2021-04-01,C Series-19.5,-105.97690328217553,1,EMEA
36,2021-05-01,C Series-19.5,59.688045786517264,1,EMEA
37,2021-06-01,C Series-19.5,142.62710605126335,1,EMEA
38,2021-07-01,C Series-19.5,-99.37208284253202,1,EMEA
39,2021-08-01,C Series-19.5,-164.6400966977451,1,EMEA
40,2021-09-01,C Series-19.5,146.19706598046935,1,EMEA
41,2021-10-01,C Series-19.5,-255.32700234965662,1,EMEA
42,2018-07-01,C Series-21.5,,1,EMEA
43,2018-08-01,C Series-21.5,,1,EMEA
44,2018-09-01,C Series-21.5,,1,EMEA
45,2018-10-01,C Series-21.5,,1,EMEA
46,2018-11-01,C Series-21.5,,1,EMEA
47,2018-12-01,C Series-21.5,,1,EMEA
48,2019-01-01,C Series-21.5,,1,EMEA
49,2019-02-01,C Series-21.5,,1,EMEA
50,2019-03-01,C Series-21.5,,1,EMEA
51,2019-04-01,C Series-21.5,,1,EMEA
52,2019-05-01,C Series-21.5,,1,EMEA
53,2019-06-01,C Series-21.5,,1,EMEA
54,2019-07-01,C Series-21.5,1358.3630833476948,1,EMEA
55,2019-08-01,C Series-21.5,1313.1132170276503,1,EMEA
56,2019-09-01,C Series-21.5,4886.304466488006,1,EMEA
57,2019-10-01,C Series-21.5,1585.3425923289326,1,EMEA
