,time_period,roadmap_group,prediction,Horizon,Region
0,2017-07-01,C Series-21.5-Mainstream,,1,PA
1,2017-08-01,C Series-21.5-Mainstream,,1,PA
2,2017-09-01,C Series-21.5-Mainstream,,1,PA
3,2017-10-01,C Series-21.5-Mainstream,,1,PA
4,2017-11-01,C Series-21.5-Mainstream,,1,PA
5,2017-12-01,C Series-21.5-Mainstream,,1,PA
6,2018-01-01,C Series-21.5-Mainstream,,1,PA
7,2018-02-01,C Series-21.5-Mainstream,,1,PA
8,2018-03-01,C Series-21.5-Mainstream,,1,PA
9,2018-04-01,C Series-21.5-Mainstream,,1,PA
10,2018-05-01,C Series-21.5-Mainstream,,1,PA
11,2018-06-01,C Series-21.5-Mainstream,,1,PA
12,2018-07-01,C Series-21.5-Mainstream,299.9929867686869,1,PA
13,2018-08-01,C Series-21.5-Mainstream,513.0096447863929,1,PA
14,2018-09-01,C Series-21.5-Mainstream,299.9856488992405,1,PA
15,2018-10-01,C Series-21.5-Mainstream,298.1084827867618,1,PA
16,2018-11-01,C Series-21.5-Mainstream,298.1098542025663,1,PA
17,2018-12-01,C Series-21.5-Mainstream,298.002171552411,1,PA
18,2019-01-01,C Series-21.5-Mainstream,297.99339827151636,1,PA
19,2019-02-01,C Series-21.5-Mainstream,298.06009838451445,1,PA
20,2019-03-01,C Series-21.5-Mainstream,299.9621523282898,1,PA
21,2019-04-01,C Series-21.5-Mainstream,299.9494881181593,1,PA
22,2019-05-01,C Series-21.5-Mainstream,299.9348741398023,1,PA
23,2019-06-01,C Series-21.5-Mainstream,295.94268985199994,1,PA
24,2019-07-01,C Series-21.5-Mainstream,299.9151253351448,1,PA
25,2019-08-01,C Series-21.5-Mainstream,299.8979939147403,1,PA
26,2019-09-01,C Series-21.5-Mainstream,299.8771367710473,1,PA
27,2019-10-01,C Series-21.5-Mainstream,159.57817963848865,1,PA
28,2019-11-01,C Series-21.5-Mainstream,101.38924789583358,1,PA
29,2019-12-01,C Series-21.5-Mainstream,63.34873489933902,1,PA
30,2020-01-01,C Series-21.5-Mainstream,38.478210608335246,1,PA
31,2020-02-01,C Series-21.5-Mainstream,20.52227644904041,1,PA
32,2020-03-01,C Series-21.5-Mainstream,8.358047508430626,1,PA
33,2020-04-01,C Series-21.5-Mainstream,-1.8973559603115717,1,PA
