,time_period,roadmap_group,prediction,Horizon,Region
0,2019-06-01,A1-21.5-KAB,,1,AAP
1,2019-07-01,A1-21.5-KAB,,1,AAP
2,2019-08-01,A1-21.5-KAB,,1,AAP
3,2019-09-01,A1-21.5-KAB,,1,AAP
4,2019-10-01,A1-21.5-KAB,,1,AAP
5,2019-11-01,A1-21.5-KAB,,1,AAP
6,2019-12-01,A1-21.5-KAB,,1,AAP
7,2020-01-01,A1-21.5-KAB,,1,AAP
8,2020-02-01,A1-21.5-KAB,,1,AAP
9,2020-03-01,A1-21.5-KAB,,1,AAP
10,2020-04-01,A1-21.5-KAB,,1,AAP
11,2020-05-01,A1-21.5-KAB,,1,AAP
12,2020-06-01,A1-21.5-KAB,-0.22774024205589138,1,AAP
13,2020-07-01,A1-21.5-KAB,256.82693408253215,1,AAP
14,2020-08-01,A1-21.5-KAB,1.772607883077272,1,AAP
15,2020-09-01,A1-21.5-KAB,1.772365439054019,1,AAP
16,2020-10-01,A1-21.5-KAB,-0.227121834081347,1,AAP
17,2020-11-01,A1-21.5-KAB,0.934134369520331,1,AAP
18,2020-12-01,A1-21.5-KAB,1.885016328191918,1,AAP
19,2021-01-01,A1-21.5-KAB,-0.08773414559738202,1,AAP
20,2021-02-01,A1-21.5-KAB,0.755744560030033,1,AAP
21,2021-03-01,A1-21.5-KAB,0.9195125656596634,1,AAP
22,2021-04-01,A1-21.5-KAB,1.0223634900001668,1,AAP
23,2021-05-01,A1-21.5-KAB,1.69651466743787,1,AAP
24,2021-06-01,A1-21.5-KAB,-0.010108881280930127,1,AAP
25,2021-07-01,A1-21.5-KAB,0.03405141460845916,1,AAP
26,2021-08-01,A1-21.5-KAB,0.06748612857633801,1,AAP
27,2021-09-01,A1-21.5-KAB,0.012666550176664224,1,AAP
28,2021-10-01,A1-21.5-KAB,-1.8196274817337246,1,AAP
29,2018-09-01,C Series-19.5,,1,AAP
30,2018-10-01,C Series-19.5,,1,AAP
31,2018-11-01,C Series-19.5,,1,AAP
32,2018-12-01,C Series-19.5,,1,AAP
33,2019-01-01,C Series-19.5,,1,AAP
34,2019-02-01,C Series-19.5,,1,AAP
35,2019-03-01,C Series-19.5,,1,AAP
36,2019-04-01,C Series-19.5,,1,AAP
37,2019-05-01,C Series-19.5,,1,AAP
38,2019-06-01,C Series-19.5,,1,AAP
39,2019-07-01,C Series-19.5,,1,AAP
40,2019-08-01,C Series-19.5,,1,AAP
41,2019-09-01,C Series-19.5,2072.6270113515634,1,AAP
42,2019-10-01,C Series-19.5,1977.9971747683217,1,AAP
43,2019-11-01,C Series-19.5,2257.4217718981295,1,AAP
44,2019-12-01,C Series-19.5,2293.3178467981993,1,AAP
45,2020-01-01,C Series-19.5,2190.591809415995,1,AAP
46,2020-02-01,C Series-19.5,1909.9080969226993,1,AAP
47,2020-03-01,C Series-19.5,1668.545460970865,1,AAP
48,2020-04-01,C Series-19.5,1574.8914057932523,1,AAP
49,2020-05-01,C Series-19.5,1340.97042054661,1,AAP
50,2020-06-01,C Series-19.5,1400.3156716573324,1,AAP
51,2020-07-01,C Series-19.5,1169.9773684561567,1,AAP
52,2020-08-01,C Series-19.5,87.16125887974167,1,AAP
53,2020-09-01,C Series-19.5,610.0995426479345,1,AAP
54,2020-10-01,C Series-19.5,-55.15249960857201,1,AAP
55,2020-11-01,C Series-19.5,722.8965612468181,1,AAP
56,2020-12-01,C Series-19.5,521.454868927762,1,AAP
57,2021-01-01,C Series-19.5,1393.5564066416794,1,AAP
58,2021-02-01,C Series-19.5,1012.940521741263,1,AAP
59,2021-03-01,C Series-19.5,645.648192627935,1,AAP
60,2021-04-01,C Series-19.5,512.8214624256402,1,AAP
61,2021-05-01,C Series-19.5,405.86366525619206,1,AAP
62,2021-06-01,C Series-19.5,307.9462670974142,1,AAP
63,2021-07-01,C Series-19.5,219.32424925283348,1,AAP
64,2021-08-01,C Series-19.5,151.34087593294655,1,AAP
65,2021-09-01,C Series-19.5,79.77365514978734,1,AAP
66,2021-10-01,C Series-19.5,32.940763104463635,1,AAP
67,2018-04-01,C Series-21.5,,1,AAP
68,2018-05-01,C Series-21.5,,1,AAP
69,2018-06-01,C Series-21.5,,1,AAP
70,2018-07-01,C Series-21.5,,1,AAP
71,2018-08-01,C Series-21.5,,1,AAP
72,2018-09-01,C Series-21.5,,1,AAP
73,2018-10-01,C Series-21.5,,1,AAP
