,time_period,roadmap_group,prediction,Horizon,Region
0,2018-12-01,A1-19.5-KAB,,1,CHINA
1,2019-01-01,A1-19.5-KAB,,1,CHINA
2,2019-02-01,A1-19.5-KAB,,1,CHINA
3,2019-03-01,A1-19.5-KAB,,1,CHINA
4,2019-04-01,A1-19.5-KAB,,1,CHINA
5,2019-05-01,A1-19.5-KAB,,1,CHINA
6,2019-06-01,A1-19.5-KAB,,1,CHINA
7,2019-07-01,A1-19.5-KAB,,1,CHINA
8,2019-08-01,A1-19.5-KAB,,1,CHINA
9,2019-09-01,A1-19.5-KAB,,1,CHINA
10,2019-10-01,A1-19.5-KAB,,1,CHINA
11,2019-11-01,A1-19.5-KAB,,1,CHINA
12,2019-12-01,A1-19.5-KAB,122.45530209019465,1,CHINA
13,2020-01-01,A1-19.5-KAB,72.21079958102861,1,CHINA
14,2020-02-01,A1-19.5-KAB,53.95258859101578,1,CHINA
15,2020-03-01,A1-19.5-KAB,0.012446318148572999,1,CHINA
16,2020-04-01,A1-19.5-KAB,188.44229859846354,1,CHINA
17,2020-05-01,A1-19.5-KAB,134.05142934914267,1,CHINA
18,2020-06-01,A1-19.5-KAB,158.38805136245827,1,CHINA
19,2020-07-01,A1-19.5-KAB,532.4108499108355,1,CHINA
20,2020-08-01,A1-19.5-KAB,1017.2636073702149,1,CHINA
21,2020-09-01,A1-19.5-KAB,199.88604249315637,1,CHINA
22,2020-10-01,A1-19.5-KAB,147.0668007083471,1,CHINA
23,2020-11-01,A1-19.5-KAB,109.81226396208102,1,CHINA
24,2020-12-01,A1-19.5-KAB,129.00474675545595,1,CHINA
25,2021-01-01,A1-19.5-KAB,96.35468823827897,1,CHINA
26,2021-02-01,A1-19.5-KAB,53.89226540191053,1,CHINA
27,2021-03-01,A1-19.5-KAB,125.29102602437062,1,CHINA
28,2021-04-01,A1-19.5-KAB,76.85704223884409,1,CHINA
29,2021-05-01,A1-19.5-KAB,166.70146137337872,1,CHINA
30,2021-06-01,A1-19.5-KAB,46.023337925385526,1,CHINA
31,2021-07-01,A1-19.5-KAB,131.90467547340168,1,CHINA
32,2021-08-01,A1-19.5-KAB,306.2605246093165,1,CHINA
33,2021-09-01,A1-19.5-KAB,106.09527990108197,1,CHINA
34,2021-10-01,A1-19.5-KAB,31.328892096508326,1,CHINA
35,2021-11-01,A1-19.5-KAB,72.43945380086726,1,CHINA
36,2018-10-01,A1-21.5-KAB,,1,CHINA
37,2018-11-01,A1-21.5-KAB,,1,CHINA
38,2018-12-01,A1-21.5-KAB,,1,CHINA
39,2019-01-01,A1-21.5-KAB,,1,CHINA
40,2019-02-01,A1-21.5-KAB,,1,CHINA
41,2019-03-01,A1-21.5-KAB,,1,CHINA
42,2019-04-01,A1-21.5-KAB,,1,CHINA
43,2019-05-01,A1-21.5-KAB,,1,CHINA
44,2019-06-01,A1-21.5-KAB,,1,CHINA
45,2019-07-01,A1-21.5-KAB,,1,CHINA
46,2019-08-01,A1-21.5-KAB,,1,CHINA
47,2019-09-01,A1-21.5-KAB,,1,CHINA
48,2019-10-01,A1-21.5-KAB,687.0973083330811,1,CHINA
49,2019-11-01,A1-21.5-KAB,507.8875324699751,1,CHINA
50,2019-12-01,A1-21.5-KAB,236.16729366251354,1,CHINA
51,2020-01-01,A1-21.5-KAB,422.059957360253,1,CHINA
52,2020-02-01,A1-21.5-KAB,352.3566375618725,1,CHINA
53,2020-03-01,A1-21.5-KAB,167.88133551153115,1,CHINA
54,2020-04-01,A1-21.5-KAB,259.3844400001984,1,CHINA
55,2020-05-01,A1-21.5-KAB,243.35231364487785,1,CHINA
56,2020-06-01,A1-21.5-KAB,276.490269209973,1,CHINA
57,2020-07-01,A1-21.5-KAB,320.7499985254705,1,CHINA
58,2020-08-01,A1-21.5-KAB,765.0350825767629,1,CHINA
59,2020-09-01,A1-21.5-KAB,534.8899423475718,1,CHINA
60,2020-10-01,A1-21.5-KAB,257.13055111459073,1,CHINA
61,2020-11-01,A1-21.5-KAB,286.27145020090825,1,CHINA
