,time_period,roadmap_group,prediction,Horizon,Region
0,2018-06-01,C Series-19.5,,1,EMEA
1,2018-07-01,C Series-19.5,,1,EMEA
2,2018-08-01,C Series-19.5,,1,EMEA
3,2018-09-01,C Series-19.5,,1,EMEA
4,2018-10-01,C Series-19.5,,1,EMEA
5,2018-11-01,C Series-19.5,,1,EMEA
6,2018-12-01,C Series-19.5,,1,EMEA
7,2019-01-01,C Series-19.5,,1,EMEA
8,2019-02-01,C Series-19.5,,1,EMEA
9,2019-03-01,C Series-19.5,,1,EMEA
10,2019-04-01,C Series-19.5,,1,EMEA
11,2019-05-01,C Series-19.5,,1,EMEA
12,2019-06-01,C Series-19.5,517.9993781401811,1,EMEA
13,2019-07-01,C Series-19.5,403.04309672619536,1,EMEA
14,2019-08-01,C Series-19.5,195.57663131266753,1,EMEA
15,2019-09-01,C Series-19.5,820.6800064497525,1,EMEA
16,2019-10-01,C Series-19.5,-422.40995506759805,1,EMEA
17,2019-11-01,C Series-19.5,212.2622871443649,1,EMEA
18,2019-12-01,C Series-19.5,1169.667747986057,1,EMEA
19,2020-01-01,C Series-19.5,32.35257212732188,1,EMEA
20,2020-02-01,C Series-19.5,-240.22576101858476,1,EMEA
21,2020-03-01,C Series-19.5,-11.069018675769536,1,EMEA
22,2020-04-01,C Series-19.5,-62.76298470648349,1,EMEA
23,2020-05-01,C Series-19.5,23.887121298967344,1,EMEA
24,2020-06-01,C Series-19.5,125.9171050138649,1,EMEA
25,2020-07-01,C Series-19.5,395.7928246879969,1,EMEA
26,2020-08-01,C Series-19.5,515.7531171832554,1,EMEA
27,2020-09-01,C Series-19.5,878.2585687718242,1,EMEA
28,2020-10-01,C Series-19.5,499.70189060546727,1,EMEA
29,2020-11-01,C Series-19.5,511.2328194642229,1,EMEA
30,2020-12-01,C Series-19.5,477.2749110156116,1,EMEA
31,2021-01-01,C Series-19.5,-91.51997001790085,1,EMEA
32,2021-02-01,C Series-19.5,-375.0077952708541,1,EMEA
33,2021-03-01,C Series-19.5,1.1024326784970029,1,EMEA
34,2021-04-01,C Series-19.5,-93.13519679128032,1,EMEA
35,2021-05-01,C Series-19.5,10.508460456730973,1,EMEA
36,2021-06-01,C Series-19.5,-42.70060795268624,1,EMEA
37,2021-07-01,C Series-19.5,-110.18457256310205,1,EMEA
38,2021-08-01,C Series-19.5,-116.87794426398854,1,EMEA
39,2021-09-01,C Series-19.5,208.119819031397,1,EMEA
40,2021-10-01,C Series-19.5,-95.16090599119039,1,EMEA
41,2018-08-01,C Series-21.5,,1,EMEA
42,2018-09-01,C Series-21.5,,1,EMEA
43,2018-10-01,C Series-21.5,,1,EMEA
44,2018-11-01,C Series-21.5,,1,EMEA
45,2018-12-01,C Series-21.5,,1,EMEA
