,time_period,roadmap_group,prediction,Horizon,Region
0,2018-09-01,C Series-21.5,,1,GC
1,2018-10-01,C Series-21.5,,1,GC
2,2018-11-01,C Series-21.5,,1,GC
3,2018-12-01,C Series-21.5,,1,GC
4,2019-01-01,C Series-21.5,,1,GC
5,2019-02-01,C Series-21.5,,1,GC
6,2019-03-01,C Series-21.5,,1,GC
7,2019-04-01,C Series-21.5,,1,GC
8,2019-05-01,C Series-21.5,,1,GC
9,2019-06-01,C Series-21.5,,1,GC
10,2019-07-01,C Series-21.5,,1,GC
11,2019-08-01,C Series-21.5,,1,GC
12,2019-09-01,C Series-21.5,0.2215252875763435,1,GC
13,2019-10-01,C Series-21.5,20.679102970306797,1,GC
14,2019-11-01,C Series-21.5,0.13254206374843044,1,GC
15,2019-12-01,C Series-21.5,16.618986028150974,1,GC
16,2020-01-01,C Series-21.5,0.10718361856150471,1,GC
17,2020-02-01,C Series-21.5,0.1042940758497044,1,GC
18,2020-03-01,C Series-21.5,0.10519054074650658,1,GC
19,2020-04-01,C Series-21.5,0.10333273022497558,1,GC
20,2020-05-01,C Series-21.5,0.10115526677845543,1,GC
21,2020-06-01,C Series-21.5,-4.667507066402621e-07,1,GC
22,2020-07-01,C Series-21.5,0.10139670418425006,1,GC
23,2020-08-01,C Series-21.5,-3.623717434755175e-06,1,GC
24,2020-09-01,C Series-21.5,0.103881692375827,1,GC
25,2020-10-01,C Series-21.5,99.99730717589065,1,GC
26,2020-11-01,C Series-21.5,70.00021616233624,1,GC
27,2017-09-01,C Series-21.5-Mainstream,,1,GC
28,2017-10-01,C Series-21.5-Mainstream,,1,GC
29,2017-11-01,C Series-21.5-Mainstream,,1,GC
30,2017-12-01,C Series-21.5-Mainstream,,1,GC
31,2018-01-01,C Series-21.5-Mainstream,,1,GC
32,2018-02-01,C Series-21.5-Mainstream,,1,GC
33,2018-03-01,C Series-21.5-Mainstream,,1,GC
34,2018-04-01,C Series-21.5-Mainstream,,1,GC
35,2018-05-01,C Series-21.5-Mainstream,,1,GC
36,2018-06-01,C Series-21.5-Mainstream,,1,GC
37,2018-07-01,C Series-21.5-Mainstream,,1,GC
38,2018-08-01,C Series-21.5-Mainstream,,1,GC
39,2018-09-01,C Series-21.5-Mainstream,0.6034366353675957,1,GC
40,2018-10-01,C Series-21.5-Mainstream,-2.2301486623638116,1,GC
41,2018-11-01,C Series-21.5-Mainstream,1.3152848137791588,1,GC
42,2018-12-01,C Series-21.5-Mainstream,0.01058193761550591,1,GC
43,2019-01-01,C Series-21.5-Mainstream,15.30007662976472,1,GC
44,2019-02-01,C Series-21.5-Mainstream,1.418369080336221,1,GC
45,2019-03-01,C Series-21.5-Mainstream,16.0791972982735,1,GC
46,2019-04-01,C Series-21.5-Mainstream,6.215283948365298,1,GC
47,2019-05-01,C Series-21.5-Mainstream,15.245659949383006,1,GC
48,2019-06-01,C Series-21.5-Mainstream,6.799367552178111,1,GC
49,2019-07-01,C Series-21.5-Mainstream,17.458498261019763,1,GC
50,2019-08-01,C Series-21.5-Mainstream,16.77249343810516,1,GC
51,2019-09-01,C Series-21.5-Mainstream,24.91441129160383,1,GC
52,2020-10-01,C Series-23.8,,1,GC
53,2020-11-01,C Series-23.8,,1,GC
54,2020-12-01,C Series-23.8,,1,GC
55,2021-01-01,C Series-23.8,,1,GC
56,2021-02-01,C Series-23.8,,1,GC
57,2021-03-01,C Series-23.8,,1,GC
58,2021-04-01,C Series-23.8,,1,GC
59,2021-05-01,C Series-23.8,,1,GC
60,2021-06-01,C Series-23.8,,1,GC
61,2021-07-01,C Series-23.8,,1,GC
62,2021-08-01,C Series-23.8,,1,GC
63,2021-09-01,C Series-23.8,,1,GC
64,2021-10-01,C Series-23.8,30.430598049740603,1,GC
65,2021-11-01,C Series-23.8,20.471602513649323,1,GC
66,2021-12-01,C Series-23.8,41.98236516288922,1,GC
67,2018-03-01,C Series-23.8-Mainstream,,1,GC
68,2018-04-01,C Series-23.8-Mainstream,,1,GC
69,2018-05-01,C Series-23.8-Mainstream,,1,GC
70,2018-06-01,C Series-23.8-Mainstream,,1,GC
71,2018-07-01,C Series-23.8-Mainstream,,1,GC
72,2018-08-01,C Series-23.8-Mainstream,,1,GC
73,2018-09-01,C Series-23.8-Mainstream,,1,GC
74,2018-10-01,C Series-23.8-Mainstream,,1,GC
75,2018-11-01,C Series-23.8-Mainstream,,1,GC
76,2018-12-01,C Series-23.8-Mainstream,,1,GC
77,2019-01-01,C Series-23.8-Mainstream,,1,GC
78,2019-02-01,C Series-23.8-Mainstream,,1,GC
79,2019-03-01,C Series-23.8-Mainstream,15.560490818168807,1,GC
80,2019-04-01,C Series-23.8-Mainstream,13.650744651731298,1,GC
81,2019-05-01,C Series-23.8-Mainstream,4.381154238406959,1,GC
82,2019-06-01,C Series-23.8-Mainstream,2.5064755202798605,1,GC
83,2019-07-01,C Series-23.8-Mainstream,2.5127396201514234,1,GC
84,2019-08-01,C Series-23.8-Mainstream,6.476338403188562,1,GC
85,2019-09-01,C Series-23.8-Mainstream,202.79526755127316,1,GC
86,2019-10-01,C Series-23.8-Mainstream,13.614252250827434,1,GC
87,2019-11-01,C Series-23.8-Mainstream,43.04669086963465,1,GC
88,2019-12-01,C Series-23.8-Mainstream,26.44788196793414,1,GC
89,2020-01-01,C Series-23.8-Mainstream,18.634106546840787,1,GC
90,2020-02-01,C Series-23.8-Mainstream,18.0334197737025,1,GC
91,2020-03-01,C Series-23.8-Mainstream,22.677292446481957,1,GC
92,2020-04-01,C Series-23.8-Mainstream,29.727932485668145,1,GC
93,2020-05-01,C Series-23.8-Mainstream,26.31165831144727,1,GC
94,2020-06-01,C Series-23.8-Mainstream,29.552491970245395,1,GC
95,2020-07-01,C Series-23.8-Mainstream,47.90801772244501,1,GC
96,2020-08-01,C Series-23.8-Mainstream,58.059583340159094,1,GC
97,2020-09-01,C Series-23.8-Mainstream,59.892814954142914,1,GC
98,2020-10-01,C Series-23.8-Mainstream,53.44437957337254,1,GC
99,2020-11-01,C Series-23.8-Mainstream,48.13423457738295,1,GC
100,2020-12-01,C Series-23.8-Mainstream,34.672405317113416,1,GC
101,2021-01-01,C Series-23.8-Mainstream,32.61663279457649,1,GC
102,2021-02-01,C Series-23.8-Mainstream,21.15045343487722,1,GC
103,2021-03-01,C Series-23.8-Mainstream,25.033755569962867,1,GC
104,2021-04-01,C Series-23.8-Mainstream,24.777885163725905,1,GC
105,2021-05-01,C Series-23.8-Mainstream,22.710597269326428,1,GC
106,2021-06-01,C Series-23.8-Mainstream,88.70440671278678,1,GC
107,2021-07-01,C Series-23.8-Mainstream,155.24617994620678,1,GC
108,2021-08-01,C Series-23.8-Mainstream,50.92484859401445,1,GC
109,2021-09-01,C Series-23.8-Mainstream,41.13767251662111,1,GC
110,2021-10-01,C Series-23.8-Mainstream,76.49694504522128,1,GC
111,2021-11-01,C Series-23.8-Mainstream,110.45500956496818,1,GC
112,2021-12-01,C Series-23.8-Mainstream,168.4974810115259,1,GC
113,2018-11-01,C Series-27,,1,GC
114,2018-12-01,C Series-27,,1,GC
115,2019-01-01,C Series-27,,1,GC
116,2019-02-01,C Series-27,,1,GC
117,2019-03-01,C Series-27,,1,GC
118,2019-04-01,C Series-27,,1,GC
119,2019-05-01,C Series-27,,1,GC
120,2019-06-01,C Series-27,,1,GC
121,2019-07-01,C Series-27,,1,GC
122,2019-08-01,C Series-27,,1,GC
123,2019-09-01,C Series-27,,1,GC
124,2019-10-01,C Series-27,,1,GC
125,2019-11-01,C Series-27,0.8760726401885912,1,GC
126,2019-12-01,C Series-27,2.1530939073248136,1,GC
127,2020-01-01,C Series-27,0.09550614893686582,1,GC
128,2020-02-01,C Series-27,1.0296488270563557,1,GC
129,2020-03-01,C Series-27,3.2436910065939846,1,GC
130,2020-04-01,C Series-27,2.773788086140491,1,GC
131,2020-05-01,C Series-27,2.417439181733109,1,GC
