,time_period,roadmap_group,prediction
0,2018-10-01,A1-19.5-KAB,
1,2018-11-01,A1-19.5-KAB,
2,2018-12-01,A1-19.5-KAB,
3,2019-01-01,A1-19.5-KAB,
4,2019-02-01,A1-19.5-KAB,
5,2019-03-01,A1-19.5-KAB,
6,2019-04-01,A1-19.5-KAB,
7,2019-05-01,A1-19.5-KAB,
8,2019-06-01,A1-19.5-KAB,
9,2019-07-01,A1-19.5-KAB,
10,2019-08-01,A1-19.5-KAB,
11,2019-09-01,A1-19.5-KAB,
12,2019-10-01,A1-19.5-KAB,700.3769779654438
13,2019-11-01,A1-19.5-KAB,301.64200826135624
14,2019-12-01,A1-19.5-KAB,257.25781735154555
15,2020-01-01,A1-19.5-KAB,183.5618653779547
16,2020-02-01,A1-19.5-KAB,140.8853938077901
17,2020-03-01,A1-19.5-KAB,58.88792708430155
18,2020-04-01,A1-19.5-KAB,246.33791536295865
19,2020-05-01,A1-19.5-KAB,223.96383384471136
20,2020-06-01,A1-19.5-KAB,299.3020289362538
21,2020-07-01,A1-19.5-KAB,543.014868416801
22,2020-08-01,A1-19.5-KAB,885.7499446130105
23,2020-09-01,A1-19.5-KAB,258.16985647962963
24,2020-10-01,A1-19.5-KAB,195.39779161596002
25,2020-11-01,A1-19.5-KAB,161.71293105277707
26,2020-12-01,A1-19.5-KAB,146.19210382095056
27,2021-01-01,A1-19.5-KAB,130.94690210239065
28,2021-02-01,A1-19.5-KAB,90.3255694365776
29,2021-03-01,A1-19.5-KAB,145.8099485521952
30,2021-04-01,A1-19.5-KAB,109.88803916483802
31,2021-05-01,A1-19.5-KAB,203.02107586274872
32,2021-06-01,A1-19.5-KAB,89.56864475605317
33,2021-07-01,A1-19.5-KAB,176.6299572812306
34,2021-08-01,A1-19.5-KAB,295.05123790595485
35,2021-09-01,A1-19.5-KAB,142.20240803489833
36,2021-10-01,A1-19.5-KAB,55.453637203158586
37,2021-11-01,A1-19.5-KAB,77.24830197158101
38,2018-09-01,A1-21.5-KAB,
39,2018-10-01,A1-21.5-KAB,
40,2018-11-01,A1-21.5-KAB,
41,2018-12-01,A1-21.5-KAB,
42,2019-01-01,A1-21.5-KAB,
43,2019-02-01,A1-21.5-KAB,
44,2019-03-01,A1-21.5-KAB,
45,2019-04-01,A1-21.5-KAB,
46,2019-05-01,A1-21.5-KAB,
47,2019-06-01,A1-21.5-KAB,
48,2019-07-01,A1-21.5-KAB,
49,2019-08-01,A1-21.5-KAB,
50,2019-09-01,A1-21.5-KAB,4343.447772668293
51,2019-10-01,A1-21.5-KAB,2852.8834244402074
52,2019-11-01,A1-21.5-KAB,1241.106812082971
53,2019-12-01,A1-21.5-KAB,513.5471633743624
54,2020-01-01,A1-21.5-KAB,1730.373741883399
55,2020-02-01,A1-21.5-KAB,886.0814186544184
56,2020-03-01,A1-21.5-KAB,508.67478295333507
57,2020-04-01,A1-21.5-KAB,1581.4491012100657
58,2020-05-01,A1-21.5-KAB,460.319093339888
59,2020-06-01,A1-21.5-KAB,264.93520097921987
60,2020-07-01,A1-21.5-KAB,658.7889108071856
61,2020-08-01,A1-21.5-KAB,3446.6313511954922
62,2020-09-01,A1-21.5-KAB,935.3388734192628
63,2020-10-01,A1-21.5-KAB,729.1019341329422
64,2020-11-01,A1-21.5-KAB,1049.3878255705815
65,2020-12-01,A1-21.5-KAB,1454.6516589270732
66,2021-01-01,A1-21.5-KAB,801.1806102545158
67,2021-02-01,A1-21.5-KAB,712.3707602796599
68,2021-03-01,A1-21.5-KAB,479.38387464575635
69,2021-04-01,A1-21.5-KAB,377.69429762025493
70,2021-05-01,A1-21.5-KAB,283.9707657962876
71,2021-06-01,A1-21.5-KAB,262.00049525622927
72,2021-07-01,A1-21.5-KAB,435.25159321312674
73,2021-08-01,A1-21.5-KAB,447.4580702061031
74,2021-09-01,A1-21.5-KAB,274.4198595171332
75,2021-10-01,A1-21.5-KAB,18.568641007146994
76,2021-11-01,A1-21.5-KAB,375.17366569718376
77,2020-08-01,A2-21.5-KAB,
78,2020-09-01,A2-21.5-KAB,
79,2020-10-01,A2-21.5-KAB,
80,2020-11-01,A2-21.5-KAB,
81,2020-12-01,A2-21.5-KAB,
82,2021-01-01,A2-21.5-KAB,
83,2021-02-01,A2-21.5-KAB,
84,2021-03-01,A2-21.5-KAB,
85,2021-04-01,A2-21.5-KAB,
86,2021-05-01,A2-21.5-KAB,
87,2021-06-01,A2-21.5-KAB,
88,2021-07-01,A2-21.5-KAB,
89,2021-08-01,A2-21.5-KAB,444.7867818391712
90,2021-09-01,A2-21.5-KAB,431.8576212169461
91,2021-10-01,A2-21.5-KAB,772.1815425634067
92,2021-11-01,A2-21.5-KAB,356.9180003463939
93,2018-04-01,C Series-19.5,
94,2018-05-01,C Series-19.5,
95,2018-06-01,C Series-19.5,
96,2018-07-01,C Series-19.5,
97,2018-08-01,C Series-19.5,
98,2018-09-01,C Series-19.5,
99,2018-10-01,C Series-19.5,
100,2018-11-01,C Series-19.5,
101,2018-12-01,C Series-19.5,
102,2019-01-01,C Series-19.5,
103,2019-02-01,C Series-19.5,
104,2019-03-01,C Series-19.5,
105,2019-04-01,C Series-19.5,4275.095386377705
106,2019-05-01,C Series-19.5,2977.0173179595067
107,2019-06-01,C Series-19.5,2099.8764718558227
108,2019-07-01,C Series-19.5,2067.7091835459532
109,2019-08-01,C Series-19.5,2852.332131002983
110,2019-09-01,C Series-19.5,2692.468883038612
111,2019-10-01,C Series-19.5,3057.4577900012137
112,2019-11-01,C Series-19.5,2991.2801192817738
113,2019-12-01,C Series-19.5,2423.5113527880744
114,2020-01-01,C Series-19.5,1610.601350447228
115,2020-02-01,C Series-19.5,1357.1734885379706
116,2020-03-01,C Series-19.5,905.9263177893449
117,2020-04-01,C Series-19.5,1084.2614959944467
118,2020-05-01,C Series-19.5,303.6580400705045
119,2020-06-01,C Series-19.5,1242.5923834668943
120,2020-07-01,C Series-19.5,701.6740493727356
121,2020-08-01,C Series-19.5,540.6525439493013
122,2020-09-01,C Series-19.5,762.8000165637442
123,2020-10-01,C Series-19.5,775.3771600598864
124,2020-11-01,C Series-19.5,1151.383784933754
125,2020-12-01,C Series-19.5,608.7080284661819
126,2021-01-01,C Series-19.5,2199.374206745508
127,2021-02-01,C Series-19.5,1059.9832786229324
128,2021-03-01,C Series-19.5,561.7910383953802
129,2021-04-01,C Series-19.5,275.7712841098006
130,2021-05-01,C Series-19.5,133.4510558793933
131,2021-06-01,C Series-19.5,57.92824454222073
132,2021-07-01,C Series-19.5,23.206657312473794
133,2021-08-01,C Series-19.5,9.951893368710177
134,2021-09-01,C Series-19.5,4.1409648527545
135,2021-10-01,C Series-19.5,5.684617785702368
136,2018-03-01,C Series-21.5,
137,2018-04-01,C Series-21.5,
138,2018-05-01,C Series-21.5,
139,2018-06-01,C Series-21.5,
140,2018-07-01,C Series-21.5,
141,2018-08-01,C Series-21.5,
142,2018-09-01,C Series-21.5,
143,2018-10-01,C Series-21.5,
144,2018-11-01,C Series-21.5,
145,2018-12-01,C Series-21.5,
146,2019-01-01,C Series-21.5,
147,2019-02-01,C Series-21.5,
148,2019-03-01,C Series-21.5,952.9620531288215
149,2019-04-01,C Series-21.5,2949.9381231807306
150,2019-05-01,C Series-21.5,1761.2810503027774
151,2019-06-01,C Series-21.5,2567.882115552053
152,2019-07-01,C Series-21.5,2645.618104722136
153,2019-08-01,C Series-21.5,2486.8924666988323
154,2019-09-01,C Series-21.5,2767.6601491792026
155,2019-10-01,C Series-21.5,2878.4430080909005
156,2019-11-01,C Series-21.5,1901.6266282731794
157,2019-12-01,C Series-21.5,1967.1157416499575
158,2020-01-01,C Series-21.5,1494.8323563267377
159,2020-02-01,C Series-21.5,1752.3599139612372
160,2020-03-01,C Series-21.5,2671.116311719838
161,2020-04-01,C Series-21.5,3131.6485193416365
162,2020-05-01,C Series-21.5,3112.9927137178997
163,2020-06-01,C Series-21.5,2093.352083678611
164,2020-07-01,C Series-21.5,2678.648095689418
