,time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_t1ci_qty,roadmap_t2ci_qty,year,month,ww_roadmap_invoice_qty,ww_roadmap_t1ci_qty,ww_roadmap_t2ci_qty,group,segment
0,2019-05-01,AAP,A1-21.5-KAB,2.0,0.0,0.0,2019,5,204.0,20.5,0.0,AIO,VERITON
1,2019-06-01,AAP,A1-21.5-KAB,0.0,0.0,0.0,2019,6,503.0,93.4,0.0,AIO,VERITON
2,2019-07-01,AAP,A1-21.5-KAB,1008.0,0.0,0.0,2019,7,1291.0,342.5,0.0,AIO,VERITON
3,2019-08-01,AAP,A1-21.5-KAB,2016.0,0.0,0.0,2019,8,3629.0,192.2,0.0,AIO,VERITON
4,2019-09-01,AAP,A1-21.5-KAB,2016.0,1000.0,0.0,2019,9,2686.0,1366.25,0.0,AIO,VERITON
5,2019-10-01,AAP,A1-21.5-KAB,0.0,939.0,0.0,2019,10,292.0,1231.0,0.0,AIO,VERITON
6,2019-11-01,AAP,A1-21.5-KAB,0.0,912.0,0.0,2019,11,239.0,1241.6,0.0,AIO,VERITON
7,2019-12-01,AAP,A1-21.5-KAB,4173.0,0.0,0.0,2019,12,4642.0,244.8,0.0,AIO,VERITON
8,2020-01-01,AAP,A1-21.5-KAB,0.0,0.0,0.0,2020,1,308.0,246.5,0.0,AIO,VERITON
9,2020-02-01,AAP,A1-21.5-KAB,0.0,33.333333333333336,0.0,2020,2,0.0,320.3333333333333,0.0,AIO,VERITON
10,2020-03-01,AAP,A1-21.5-KAB,0.0,290.6666666666667,132.5,2020,3,261.0,577.6666666666667,132.5,AIO,VERITON
11,2020-04-01,AAP,A1-21.5-KAB,0.0,2305.5,1854.25,2020,4,312.0,2592.5,1854.25,AIO,VERITON
12,2020-05-01,AAP,A1-21.5-KAB,0.0,2139.0,1792.2,2020,5,282.0,2360.6,1792.2,AIO,VERITON
13,2020-06-01,AAP,A1-21.5-KAB,0.0,2139.0,1995.0,2020,6,403.0,2309.25,1995.0,AIO,VERITON
14,2020-07-01,AAP,A1-21.5-KAB,0.0,1425.1666666666667,591.5,2020,7,2001.0,1744.4166666666667,591.5,AIO,VERITON
15,2020-08-01,AAP,A1-21.5-KAB,0.0,1068.5,367.7,2020,8,1063.0,1552.9,367.7,AIO,VERITON
16,2020-09-01,AAP,A1-21.5-KAB,0.0,1068.5,365.0,2020,9,373.0,1336.25,365.0,AIO,VERITON
17,2020-10-01,AAP,A1-21.5-KAB,0.0,1068.5,298.0,2020,10,178.0,1310.25,298.0,AIO,VERITON
18,2020-11-01,AAP,A1-21.5-KAB,0.0,1709.6,12.6,2020,11,783.0,2044.35,12.6,AIO,VERITON
19,2020-12-01,AAP,A1-21.5-KAB,0.0,2138.5,0.0,2020,12,196.0,2179.75,0.0,AIO,VERITON
20,2021-01-01,AAP,A1-21.5-KAB,0.0,2137.0,0.0,2021,1,11.0,2155.8,0.0,AIO,VERITON
21,2021-02-01,AAP,A1-21.5-KAB,0.0,2132.25,0.0,2021,2,20.0,2155.5833333333335,0.0,AIO,VERITON
22,2021-03-01,AAP,A1-21.5-KAB,0.0,2100.0,0.0,2021,3,54.0,2101.6666666666665,0.0,AIO,VERITON
23,2021-04-01,AAP,A1-21.5-KAB,0.0,2096.25,0.0,2021,4,30.0,2096.25,0.0,AIO,VERITON
24,2021-05-01,AAP,A1-21.5-KAB,0.0,1217.111111111111,0.0,2021,5,0.0,1217.111111111111,0.0,AIO,VERITON
25,2021-06-01,AAP,A1-21.5-KAB,0.0,1233.142857142857,0.0,2021,6,0.0,1233.142857142857,0.0,AIO,VERITON
26,2021-07-01,AAP,A1-21.5-KAB,0.0,1320.625,0.0,2021,7,0.0,1320.625,0.0,AIO,VERITON
27,2021-08-01,AAP,A1-21.5-KAB,0.0,2075.0,0.0,2021,8,108.0,2075.0,0.0,AIO,VERITON
28,2021-09-01,AAP,A1-21.5-KAB,0.0,2075.0,0.0,2021,9,120.0,2075.0,0.0,AIO,VERITON
29,2021-10-01,AAP,A1-21.5-KAB,0.0,2075.0,0.0,2021,10,0.0,2075.0,0.0,AIO,VERITON
30,2018-08-01,AAP,C Series-19.5,2532.0,0.0,0.0,2018,8,3652.0,73.0,208.0,AIO,C Series
31,2018-09-01,AAP,C Series-19.5,1272.0,278.6666666666667,40.666666666666664,2018,9,3177.0,417.0537634408602,224.18279569892474,AIO,C Series
32,2018-10-01,AAP,C Series-19.5,680.0,428.7142857142857,79.92857142857143,2018,10,1464.0,483.4642857142857,230.03968253968253,AIO,C Series
33,2018-11-01,AAP,C Series-19.5,478.0,247.68333333333334,175.68333333333334,2018,11,1766.0,295.19615384615383,429.24743589743593,AIO,C Series
34,2018-12-01,AAP,C Series-19.5,1897.0,388.3125,377.3125,2018,12,4193.0,431.041313559322,605.1430084745763,AIO,C Series
35,2019-01-01,AAP,C Series-19.5,2546.0,376.9909090909091,563.3181818181818,2019,1,3512.0,453.348051948052,729.3360389610389,AIO,C Series
36,2019-02-01,AAP,C Series-19.5,5775.0,371.2333333333333,401.5666666666667,2019,2,5999.0,520.3047619047619,611.1559523809524,AIO,C Series
