,time_period,roadmap_group,prediction,Horizon
0,2018-10-01,A1-19.5-KAB,,1
1,2018-11-01,A1-19.5-KAB,,1
2,2018-12-01,A1-19.5-KAB,,1
3,2019-01-01,A1-19.5-KAB,,1
4,2019-02-01,A1-19.5-KAB,,1
5,2019-03-01,A1-19.5-KAB,,1
6,2019-04-01,A1-19.5-KAB,,1
7,2019-05-01,A1-19.5-KAB,,1
8,2019-06-01,A1-19.5-KAB,,1
9,2019-07-01,A1-19.5-KAB,,1
10,2019-08-01,A1-19.5-KAB,,1
11,2019-09-01,A1-19.5-KAB,,1
12,2019-10-01,A1-19.5-KAB,673.6573901590338,1
13,2019-11-01,A1-19.5-KAB,327.08141458064574,1
14,2019-12-01,A1-19.5-KAB,243.0523548115497,1
15,2020-01-01,A1-19.5-KAB,170.661423310257,1
16,2020-02-01,A1-19.5-KAB,137.68964484983402,1
17,2020-03-01,A1-19.5-KAB,105.21359494187222,1
18,2020-04-01,A1-19.5-KAB,145.68326987822218,1
19,2020-05-01,A1-19.5-KAB,145.66040252923412,1
20,2020-06-01,A1-19.5-KAB,160.6087601928687,1
21,2020-07-01,A1-19.5-KAB,541.5024128122196,1
22,2020-08-01,A1-19.5-KAB,899.8984064121539,1
23,2020-09-01,A1-19.5-KAB,213.31429692799094,1
24,2020-10-01,A1-19.5-KAB,146.3623475238368,1
25,2020-11-01,A1-19.5-KAB,148.5504682296807,1
26,2020-12-01,A1-19.5-KAB,135.20492307573173,1
27,2021-01-01,A1-19.5-KAB,131.78158928410528,1
28,2021-02-01,A1-19.5-KAB,101.70107164125295,1
29,2021-03-01,A1-19.5-KAB,152.34566680273784,1
30,2021-04-01,A1-19.5-KAB,119.28415400518048,1
31,2021-05-01,A1-19.5-KAB,202.14462231471268,1
32,2021-06-01,A1-19.5-KAB,98.49564160201633,1
33,2021-07-01,A1-19.5-KAB,169.01581659627635,1
34,2021-08-01,A1-19.5-KAB,287.0368167247026,1
35,2021-09-01,A1-19.5-KAB,147.11882388180908,1
36,2021-10-01,A1-19.5-KAB,72.46328956114264,1
37,2021-11-01,A1-19.5-KAB,97.66949555007398,1
38,2018-09-01,A1-21.5-KAB,,1
39,2018-10-01,A1-21.5-KAB,,1
40,2018-11-01,A1-21.5-KAB,,1
41,2018-12-01,A1-21.5-KAB,,1
42,2019-01-01,A1-21.5-KAB,,1
43,2019-02-01,A1-21.5-KAB,,1
44,2019-03-01,A1-21.5-KAB,,1
45,2019-04-01,A1-21.5-KAB,,1
46,2019-05-01,A1-21.5-KAB,,1
47,2019-06-01,A1-21.5-KAB,,1
48,2019-07-01,A1-21.5-KAB,,1
49,2019-08-01,A1-21.5-KAB,,1
50,2019-09-01,A1-21.5-KAB,4420.084984199902,1
51,2019-10-01,A1-21.5-KAB,2849.4730407369866,1
52,2019-11-01,A1-21.5-KAB,1182.1192325570512,1
53,2019-12-01,A1-21.5-KAB,801.1710283732313,1
54,2020-01-01,A1-21.5-KAB,1835.098696366045,1
55,2020-02-01,A1-21.5-KAB,1251.7893532335386,1
56,2020-03-01,A1-21.5-KAB,704.086916404208,1
57,2020-04-01,A1-21.5-KAB,556.1294550881126,1
58,2020-05-01,A1-21.5-KAB,482.21286407645005,1
59,2020-06-01,A1-21.5-KAB,430.6684490021026,1
60,2020-07-01,A1-21.5-KAB,415.9609246868269,1
61,2020-08-01,A1-21.5-KAB,3705.762784109973,1
62,2020-09-01,A1-21.5-KAB,965.2845420663903,1
63,2020-10-01,A1-21.5-KAB,480.49960414689906,1
64,2020-11-01,A1-21.5-KAB,477.00378127993383,1
65,2020-12-01,A1-21.5-KAB,1085.7586750632465,1
66,2021-01-01,A1-21.5-KAB,504.9529454226779,1
67,2021-02-01,A1-21.5-KAB,425.2349827610377,1
68,2021-03-01,A1-21.5-KAB,389.7501526330572,1
69,2021-04-01,A1-21.5-KAB,373.80272118982356,1
70,2021-05-01,A1-21.5-KAB,325.86779922070747,1
71,2021-06-01,A1-21.5-KAB,331.522123061956,1
72,2021-07-01,A1-21.5-KAB,506.4531019105044,1
73,2021-08-01,A1-21.5-KAB,468.4905168554119,1
74,2021-09-01,A1-21.5-KAB,311.6408844751698,1
75,2021-10-01,A1-21.5-KAB,264.52451688249346,1
76,2021-11-01,A1-21.5-KAB,259.7397994854349,1
77,2020-08-01,A2-21.5-KAB,,1
78,2020-09-01,A2-21.5-KAB,,1
79,2020-10-01,A2-21.5-KAB,,1
80,2020-11-01,A2-21.5-KAB,,1
81,2020-12-01,A2-21.5-KAB,,1
82,2021-01-01,A2-21.5-KAB,,1
83,2021-02-01,A2-21.5-KAB,,1
84,2021-03-01,A2-21.5-KAB,,1
85,2021-04-01,A2-21.5-KAB,,1
86,2021-05-01,A2-21.5-KAB,,1
87,2021-06-01,A2-21.5-KAB,,1
88,2021-07-01,A2-21.5-KAB,,1
